,branch,address,city,zip code,ytd,year,month,circulation_count
285,King,3436 S. King Dr.,Chicago,60616.0,11940,2022,january,1033
286,"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,14820,2022,january,1275
287,Lozano,1805 S. Loomis St.,Chicago,60608.0,25002,2022,january,1952
288,Merlo,644 W. Belmont Ave.,Chicago,60657.0,106736,2022,january,8823
289,Little Italy,1336 W. Taylor St.,Chicago,60607.0,45000,2022,january,3823
290,Canaryville,642 W. 43rd St.,Chicago,60609.0,8998,2022,january,1035
291,Independence,4024 N. Elston Ave.,Chicago,60618.0,73846,2022,january,6271
292,Austin,5615 W. Race Ave.,Chicago,60644.0,7589,2022,january,521
293,Scottsdale,4101 W. 79th St.,Chicago,60652.0,15151,2022,january,1298
294,Lincoln Belmont,1659 W. Melrose St.,Chicago,60657.0,104173,2022,january,12262
295,Walker,11071 S. Hoyne Ave.,Chicago,60643.0,16002,2022,january,979
296,North Pulaski,4300 W. North Ave.,Chicago,60639.0,12675,2022,january,973
297,Logan Square,3030 W. Fullerton Ave.,Chicago,60647.0,116319,2022,january,10060
298,Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,63482,2022,january,5054
299,Pullman,11001 S. Indiana Ave.,Chicago,60628.0,4118,2022,january,282
300,Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652.0,8850,2022,january,744
301,Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,72049,2022,january,5948
302,Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629.0,16433,2022,january,1376
304,Coleman,731 E. 63rd St.,Chicago,60637.0,11059,2022,january,759
305,Humboldt Park,1605 N. Troy St.,Chicago,60647.0,41675,2022,january,3418
306,Douglass,3353 W. 13th St.,Chicago,60623.0,4250,2022,january,273
307,Clearing,6423 W. 63rd Pl.,Chicago,60638.0,21980,2022,january,1712
308,Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,79259,2022,january,6738
309,Roden,6083 N. Northwest Hwy.,Chicago,60631.0,55614,2022,january,4382
310,Harold Washington Library Center,400 S. State St.,Chicago,60605.0,273406,2022,january,22510
311,Oriole Park,7454 W. Balmoral Ave.,Chicago,60656.0,60991,2022,january,4632
312,Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,36368,2022,january,3017
314,Gage Park,2807 W. 55th St.,Chicago,60632.0,7493,2022,january,309
315,Hegewisch,3048 E. 130th St.,Chicago,60633.0,9734,2022,january,776
316,Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614.0,142413,2022,january,11413
317,Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,6186,2022,january,509
318,McKinley Park,1915 W. 35th St.,Chicago,60609.0,37881,2022,january,3720
319,"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,25307,2022,january,0
320,West Loop,122 N. Aberdeen St.,Chicago,60607.0,52688,2022,january,4213
321,Bezazian,1226 W. Ainslie St.,Chicago,60640.0,76814,2022,january,6392
322,Toman,2708 S. Pulaski Rd.,Chicago,60623.0,23735,2022,january,1737
323,Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620.0,8920,2022,january,786
324,Sulzer Regional,4455 N. Lincoln Ave.,Chicago,60625.0,301340,2022,january,25207
325,Rogers Park,6907 N. Clark St.,Chicago,60626.0,77588,2022,january,6702
326,Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,0,2022,january,0
327,Kelly,6151 S. Normal Blvd.,Chicago,60621.0,5141,2022,january,443
328,West Town,1625 W. Chicago Ave.,Chicago,60622.0,53459,2022,january,4375
329,Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655.0,46056,2022,january,3335
330,Chinatown,2100 S. Wentworth Ave.,Chicago,60616.0,58539,2022,january,4795
331,Brainerd,1350 W. 89th St.,Chicago,60620.0,3899,2022,january,255
332,Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,17940,2022,january,1394
333,South Chicago,9055 S. Houston Ave.,Chicago,60617.0,8324,2022,january,496
334,Chicago Bee,3647 S. State St.,Chicago,60609.0,9095,2022,january,799
335,Albany Park,,,,111168,2018,january,9381
