branch	address	city	zip code	ytd	year	month	circulation	date
Woodson Regional	9525 S. Halsted St.	Chicago	60628.0	25002	2022	january	1891	2022-01-01
Beverly	1962 W. 95th St.	Chicago	60643.0	26961	2022	january	3164	2022-01-01
Archer Heights	5055 S. Archer Ave.	Chicago	60632.0	27343	2022	january	2341	2022-01-01
Manning	6 S. Hoyne Ave.	Chicago	60612.0	11869	2022	january	574	2022-01-01
Blackstone	4904 S. Lake Park Ave.	Chicago	60615.0	81017	2022	january	7234	2022-01-01
Portage-Cragin	5108 W. Belmont Ave.	Chicago	60641.0	41531	2022	january	3109	2022-01-01
West Belmont	3104 N. Narragansett Ave.	Chicago	60634.0	35914	2022	january	2996	2022-01-01
Avalon	8148 S. Stony Island Ave.	Chicago	60617.0	15567	2022	january	1236	2022-01-01
Edgewater	6000 N. Broadway St.	Chicago	60660.0	124239	2022	january	10727	2022-01-01
South Shore	2505 E. 73rd St.	Chicago	60649.0	10647	2022	january	836	2022-01-01
Legler Regional	115 S. Pulaski Rd.	Chicago	60624.0	6453	2022	january	453	2022-01-01
Hall	4801 S. Michigan Ave.	Chicago	60615.0	7510	2022	january	611	2022-01-01
Back of the Yards	2111 W. 47th St.	Chicago	60609.0	12242	2022	january	771	2022-01-01
Vodak-East Side	3710 E. 106th St.	Chicago	60617.0	19893	2022	january	1472	2022-01-01
Mayfair	4400 W. Lawrence Ave.	Chicago	60630.0	30562	2022	january	2572	2022-01-01
Dunning	7455 W. Cornelia Ave.	Chicago	60634.0	40511	2022	january	2971	2022-01-01
West Pullman	830 W. 119th St.	Chicago	60643.0	8454	2022	january	592	2022-01-01
Jefferson Park	5363 W. Lawrence Ave.	Chicago	60630.0	59621	2022	january	5166	2022-01-01
Sherman Park	5440 S. Racine Ave.	Chicago	60609.0	2857	2022	january	119	2022-01-01
Altgeld	955 E. 131st St.	Chicago	60827.0	2641	2022	january	150	2022-01-01
North Austin	5724 W. North Ave.	Chicago	60639.0	6732	2022	january	477	2022-01-01
Little Village	2311 S. Kedzie Ave.	Chicago	60623.0	17465	2022	january	1400	2022-01-01
Near North	310 W. Division St.	Chicago	60610.0	46760	2022	january	7192	2022-01-01
Water Works	163 E. Pearson St.	Chicago	60611.0	38310	2022	january	2506	2022-01-01
Uptown	929 W. Buena Ave.	Chicago	60613.0	54707	2022	january	5798	2022-01-01
Bucktown-Wicker Park	1701 N. Milwaukee Ave.	Chicago	60647.0	98867	2022	january	8411	2022-01-01
Jeffery Manor	2401 E. 100th St.	Chicago	60617.0	5335	2022	january	346	2022-01-01
Albany Park	3401 W. Foster Ave.	Chicago	60625.0	64486	2022	january	5561	2022-01-01
West Englewood	1745 W. 63rd St.	Chicago	60636.0	4576	2022	january	365	2022-01-01
Northtown	6800 N. Western Ave.	Chicago	60645.0	101188	2022	january	8393	2022-01-01
West Lawn	4020 W. 63rd St.	Chicago	60629.0	20225	2022	january	548	2022-01-01
King	3436 S. King Dr.	Chicago	60616.0	11940	2022	january	1033	2022-01-01
Daley, Richard M. - W Humboldt	733 N. Kedzie Ave.	Chicago	60612.0	14820	2022	january	1275	2022-01-01
Lozano	1805 S. Loomis St.	Chicago	60608.0	25002	2022	january	1952	2022-01-01
Merlo	644 W. Belmont Ave.	Chicago	60657.0	106736	2022	january	8823	2022-01-01
Little Italy	1336 W. Taylor St.	Chicago	60607.0	45000	2022	january	3823	2022-01-01
Canaryville	642 W. 43rd St.	Chicago	60609.0	8998	2022	january	1035	2022-01-01
Independence	4024 N. Elston Ave.	Chicago	60618.0	73846	2022	january	6271	2022-01-01
Austin	5615 W. Race Ave.	Chicago	60644.0	7589	2022	january	521	2022-01-01
Scottsdale	4101 W. 79th St.	Chicago	60652.0	15151	2022	january	1298	2022-01-01
Lincoln Belmont	1659 W. Melrose St.	Chicago	60657.0	104173	2022	january	12262	2022-01-01
Walker	11071 S. Hoyne Ave.	Chicago	60643.0	16002	2022	january	979	2022-01-01
North Pulaski	4300 W. North Ave.	Chicago	60639.0	12675	2022	january	973	2022-01-01
Logan Square	3030 W. Fullerton Ave.	Chicago	60647.0	116319	2022	january	10060	2022-01-01
Austin-Irving	6100 W. Irving Park Rd.	Chicago	60634.0	63482	2022	january	5054	2022-01-01
Pullman	11001 S. Indiana Ave.	Chicago	60628.0	4118	2022	january	282	2022-01-01
Wrightwood-Ashburn	8530 S. Kedzie Ave.	Chicago	60652.0	8850	2022	january	744	2022-01-01
Budlong Woods	5630 N. Lincoln Ave.	Chicago	60659.0	72049	2022	january	5948	2022-01-01
Chicago Lawn	6120 S. Kedzie Ave.	Chicago	60629.0	16433	2022	january	1376	2022-01-01
Coleman	731 E. 63rd St.	Chicago	60637.0	11059	2022	january	759	2022-01-01
Humboldt Park	1605 N. Troy St.	Chicago	60647.0	41675	2022	january	3418	2022-01-01
Douglass	3353 W. 13th St.	Chicago	60623.0	4250	2022	january	273	2022-01-01
Clearing	6423 W. 63rd Pl.	Chicago	60638.0	21980	2022	january	1712	2022-01-01
Edgebrook	5331 W. Devon Ave.	Chicago	60646.0	79259	2022	january	6738	2022-01-01
Roden	6083 N. Northwest Hwy.	Chicago	60631.0	55614	2022	january	4382	2022-01-01
Harold Washington Library Center	400 S. State St.	Chicago	60605.0	273406	2022	january	22510	2022-01-01
Oriole Park	7454 W. Balmoral Ave.	Chicago	60656.0	60991	2022	january	4632	2022-01-01
Garfield Ridge	6348 S. Archer Ave.	Chicago	60638.0	36368	2022	january	3017	2022-01-01
Gage Park	2807 W. 55th St.	Chicago	60632.0	7493	2022	january	309	2022-01-01
Hegewisch	3048 E. 130th St.	Chicago	60633.0	9734	2022	january	776	2022-01-01
Lincoln Park	1150 W. Fullerton Ave.	Chicago	60614.0	142413	2022	january	11413	2022-01-01
Greater Grand Crossing	1000 E. 73rd St.	Chicago	60619.0	6186	2022	january	509	2022-01-01
McKinley Park	1915 W. 35th St.	Chicago	60609.0	37881	2022	january	3720	2022-01-01
Daley, Richard J. - Bridgeport	3400 S. Halsted St.	Chicago	60608.0	25307	2022	january	0	2022-01-01
West Loop	122 N. Aberdeen St.	Chicago	60607.0	52688	2022	january	4213	2022-01-01
Bezazian	1226 W. Ainslie St.	Chicago	60640.0	76814	2022	january	6392	2022-01-01
Toman	2708 S. Pulaski Rd.	Chicago	60623.0	23735	2022	january	1737	2022-01-01
Thurgood Marshall	7506 S. Racine Ave.	Chicago	60620.0	8920	2022	january	786	2022-01-01
Sulzer Regional	4455 N. Lincoln Ave.	Chicago	60625.0	301340	2022	january	25207	2022-01-01
Rogers Park	6907 N. Clark St.	Chicago	60626.0	77588	2022	january	6702	2022-01-01
Galewood-Mont Clare	6871 W. Belden Ave.	Chicago	60707.0	0	2022	january	0	2022-01-01
Kelly	6151 S. Normal Blvd.	Chicago	60621.0	5141	2022	january	443	2022-01-01
West Town	1625 W. Chicago Ave.	Chicago	60622.0	53459	2022	january	4375	2022-01-01
Mount Greenwood	11010 S. Kedzie Ave.	Chicago	60655.0	46056	2022	january	3335	2022-01-01
Chinatown	2100 S. Wentworth Ave.	Chicago	60616.0	58539	2022	january	4795	2022-01-01
Brainerd	1350 W. 89th St.	Chicago	60620.0	3899	2022	january	255	2022-01-01
Brighton Park	4314 S. Archer Ave.	Chicago	60632.0	17940	2022	january	1394	2022-01-01
South Chicago	9055 S. Houston Ave.	Chicago	60617.0	8324	2022	january	496	2022-01-01
Chicago Bee	3647 S. State St.	Chicago	60609.0	9095	2022	january	799	2022-01-01
Albany Park				111168	2018	january	9381	2018-01-01
Altgeld				4469	2018	january	327	2018-01-01
Archer Heights				62312	2018	january	5459	2018-01-01
Austin				11569	2018	january	0	2018-01-01
Austin-Irving				108252	2018	january	9333	2018-01-01
Avalon				39384	2018	january	3644	2018-01-01
Back of the Yards				26707	2018	january	2083	2018-01-01
Beverly				54985	2018	january	5775	2018-01-01
Bezazian				99716	2018	january	8316	2018-01-01
Blackstone				98515	2018	january	8481	2018-01-01
Brainerd				9849	2018	january	1192	2018-01-01
Brighton Park				55383	2018	january	4457	2018-01-01
Bucktown-Wicker Park				110244	2018	january	9772	2018-01-01
Budlong Woods				97197	2018	january	8078	2018-01-01
Canaryville				23079	2018	january	1904	2018-01-01
Chicago Bee				1190	2018	january	486	2018-01-01
Chicago Lawn				36537	2018	january	3334	2018-01-01
Chinatown				114777	2018	january	9237	2018-01-01
Clearing				33426	2018	january	2860	2018-01-01
Coleman				29584	2018	january	2943	2018-01-01
Daley, Richard J. - Bridgeport				59826	2018	january	5174	2018-01-01
Daley, Richard M. - W Humboldt				34098	2018	january	2545	2018-01-01
Douglass				10456	2018	january	1497	2018-01-01
Dunning				53934	2018	january	4889	2018-01-01
Edgebrook				99023	2018	january	8497	2018-01-01
Edgewater				175094	2018	january	15168	2018-01-01
Gage Park				15670	2018	january	1857	2018-01-01
Galewood-Mont Clare				11112	2018	january	1284	2018-01-01
Garfield Ridge				61290	2018	january	4883	2018-01-01
Greater Grand Crossing				20689	2018	january	2291	2018-01-01
Hall				17906	2018	january	1381	2018-01-01
Harold Washington Library Center				614313	2018	january	56169	2018-01-01
Hegewisch				20847	2018	january	1998	2018-01-01
Humboldt Park				59289	2018	january	5371	2018-01-01
Independence				4	2018	january	0	2018-01-01
Jefferson Park				85709	2018	january	7231	2018-01-01
Jeffery Manor				8857	2018	january	786	2018-01-01
Kelly				6489	2018	january	1050	2018-01-01
King				27549	2018	january	2701	2018-01-01
Legler Regional				12228	2018	january	1129	2018-01-01
Lincoln Belmont				152272	2018	january	12936	2018-01-01
Lincoln Park				117208	2018	january	9987	2018-01-01
Little Village				49496	2018	january	4743	2018-01-01
Logan Square				133666	2018	january	11245	2018-01-01
Lozano				44697	2018	january	4460	2018-01-01
Manning				22749	2018	january	2325	2018-01-01
Mayfair				53062	2018	january	4414	2018-01-01
McKinley Park				67682	2018	january	5669	2018-01-01
Merlo				95983	2018	january	7743	2018-01-01
Mount Greenwood				63331	2018	january	5475	2018-01-01
Near North				106549	2018	january	9235	2018-01-01
North Austin				6518	2018	january	0	2018-01-01
North Pulaski				32944	2018	january	3194	2018-01-01
Northtown				84462	2018	january	7290	2018-01-01
Oriole Park				69652	2018	january	6186	2018-01-01
Portage-Cragin				80258	2018	january	6900	2018-01-01
Pullman				12608	2018	january	1201	2018-01-01
Roden				69745	2018	january	5859	2018-01-01
Rogers Park				123757	2018	january	10567	2018-01-01
Roosevelt				53367	2018	january	4558	2018-01-01
Scottsdale				26203	2018	january	2295	2018-01-01
Sherman Park				8491	2018	january	813	2018-01-01
South Chicago				21306	2018	january	1638	2018-01-01
South Shore				32724	2018	january	2464	2018-01-01
Sulzer Regional				379533	2018	january	33203	2018-01-01
Thurgood Marshall				20328	2018	january	0	2018-01-01
Toman				59450	2018	january	5356	2018-01-01
Uptown				79570	2018	january	6501	2018-01-01
Vodak-East Side				35364	2018	january	3046	2018-01-01
Walker				19737	2018	january	1721	2018-01-01
Water Works				50245	2018	january	4320	2018-01-01
West Belmont				64530	2018	january	6675	2018-01-01
West Chicago Avenue				11928	2018	january	1118	2018-01-01
West Englewood				15715	2018	january	1386	2018-01-01
West Lawn				40031	2018	january	3602	2018-01-01
West Pullman				20801	2018	january	2184	2018-01-01
West Town				61054	2018	january	5613	2018-01-01
